Name, Team, Matches, Innings, Balls, Maidens, Runs, Wickets, Avg, Fours, Sixes, FiveFor, TenFor, BBI, BBM
GE Tribe, North; Victoria; The Rest; Australia; Players; Duke of Norfolk's XI; CG Howard's XI; LEG Ames' XI; Northamptonshire; AER Gilligan's XI; TN Pearce's XI; Commonwealth XI, 8, 14, 1666, 48, 918, 40, 22.95, 0, 0, 2, 0, 5/75, 9/182
V Broderick, The Rest; North; Under 30; Marylebone Cricket Club; Northamptonshire; Sir PF Warner's XI, 7, 13, 1146, 80, 342, 27, 12.66, 0, 0, 1, 0, 8/16, 8/45
FR Brown, North; Surrey; South; The Rest; Gentlemen; England; Gentlemen of England; Marylebone Cricket Club; Cambridge University; HDG Leveson-Gower's XI; Northamptonshire; Marylebone Cricket Club Australian Touring Team; Free Foresters; TN Pearce's XI, 4, 8, 1042, 48, 457, 24, 19.04, 0, 0, 1, 1, 6/42, 10/142
RJ Partridge, Northamptonshire; Royal Air Force; M Leyland's XI; North, 6, 11, 986, 35, 472, 21, 22.47, 0, 0, 1, 0, 5/32, 9/71
FH Tyson, Commonwealth XI; TN Pearce's XI; Northamptonshire; Marylebone Cricket Club; Players; England XI; North; England; The Rest; EW Swanton's XI, 7, 13, 1125, 45, 542, 21, 25.8, 0, 0, 0, 0, 4/22, 6/139
RTD Perks, Combined Services; Over 32; Worcestershire; England; Marylebone Cricket Club; South; Over 30; Under 30; North; Players; The Rest, 2, 4, 466, 20, 147, 20, 7.35, 0, 0, 2, 1, 8/49, 12/74
