Name, Team, Opponents, Date, Ground, Innings, Balls, Maidens, Runs, Wickets, Balls Per Over
D Shackleton, Hampshire, Northamptonshire, 10 August 1963, Wellingborough School Ground  Wellingborough, 0, 403, 27, 104, 11, 6
BS Bedi, Northamptonshire, Middlesex, 13 August 1977, Wellingborough School Ground  Wellingborough, 0, 295, 12, 107, 11, 6
JE Emburey, Middlesex, Northamptonshire, 13 August 1977, Wellingborough School Ground  Wellingborough, 0, 346, 21, 111, 11, 6
J van Geloven, Leicestershire, Northamptonshire, 11 August 1962, Wellingborough School Ground  Wellingborough, 0, 278, 13, 74, 10, 6
FD Stephenson, Nottinghamshire, Northamptonshire, 19 July 1991, Wellingborough School Ground  Wellingborough, 0, 208, 9, 88, 10, 6
