Name, Team, Matches, Innings, Ground, Country, Dismissals, Caught, Stumped, Caught by Keeper, Caught by Fielder, Best Dismissals, Best Caught Fielder, Best Caught Keeper, Best Stumpings
KV Andrew, North; Players; Marylebone Cricket Club; England; England XI; Combined Services; AER Gilligan's XI; Northamptonshire; TN Pearce's XI; Commonwealth XI, 0, 24, , , 25, 18, 7, 18, 0, 3, 0, 3, 0
BW Bellamy, Northamptonshire, 0, 21, , , 23, 16, 7, 16, 0, 3, 0, 3, 0
AH Bakewell, Northamptonshire; HDG Leveson-Gower's XI; North; The Rest; Players; Marylebone Cricket Club; England, 0, 24, , , 15, 15, 0, 0, 15, 3, 3, 0, 0
JE Timms, Northamptonshire; North; The Rest, 0, 39, , , 13, 13, 0, 0, 13, 2, 2, 0, 0
K Fiddling, Northamptonshire; Yorkshire, 0, 10, , , 12, 8, 4, 8, 0, 3, 0, 2, 1
AL Cox, Northamptonshire, 0, 23, , , 11, 11, 0, 0, 11, 2, 2, 0, 0
KC James, Wellington; Northamptonshire; New Zealanders; New Zealand Services; New Zealand; Sir L Parkinson's XI, 0, 11, , , 11, 5, 6, 5, 0, 3, 0, 0, 3
