Name, Team, Opponents, Ground, Date, Score, Balls, Fours, Sixes, Minutes
PR Umrigar, Indians, Northamptonshire, County Ground  Northampton, 13 June 1959, 202*, 0, 0, 0, 0
DA Reeve, Warwickshire, Northamptonshire, County Ground  Northampton, 15 May 1990, 202*, 0, 25, 3, 405
L Klusener, Northamptonshire, Glamorgan, County Ground  Northampton, 27 August 2008, 202*, 346, 27, 0, 443
RI Newton, Northamptonshire, Leicestershire, County Ground  Northampton, 13 August 2016, 202*, 347, 29, 0, 481
FR Santall, Warwickshire, Northamptonshire, County Ground  Northampton, 19 July 1933, 201*, 0, 0, 0, 0
L Livingston, Northamptonshire, South Africans, County Ground  Northampton, 13 June 1951, 201*, 0, 19, 0, 330
MW Gatting, Middlesex, Northamptonshire, County Ground  Northampton, 18 August 1994, 201*, 0, 0, 0, 0
RJ Warren, Northamptonshire, Glamorgan, County Ground  Northampton, 9 May 1996, 201*, 0, 0, 0, 0
CH Palmer, Leicestershire, Northamptonshire, County Ground  Northampton, 23 May 1953, 201, 0, 0, 0, 0
HA Peach, Surrey, Northamptonshire, County Ground  Northampton, 25 August 1920, 200*, 0, 26, 0, 190
SM Katich, Lancashire, Northamptonshire, County Ground  Northampton, 8 July 2013, 200, 322, 26, 1, 486
