Name, Team, Matches, Innings, Ground, Country, Dismissals, Caught, Stumped, Caught by Keeper, Caught by Fielder, Best Dismissals, Best Caught Fielder, Best Caught Keeper, Best Stumpings
KV Andrew, North; Players; Marylebone Cricket Club; England; England XI; Combined Services; AER Gilligan's XI; Northamptonshire; TN Pearce's XI; Commonwealth XI, 0, 24, , , 28, 23, 5, 23, 0, 3, 0, 3, 0
DS Steele, DH Robins' XI; Leicestershire; Northamptonshire; TN Pearce's XI; Derbyshire; England; Marylebone Cricket Club, 0, 30, , , 19, 19, 0, 0, 19, 2, 2, 0, 0
G Sharp, TN Pearce's XI; Northamptonshire, 0, 18, , , 18, 13, 5, 13, 0, 5, 0, 3, 2
BL Reynolds, Players; AER Gilligan's XI; Northamptonshire, 0, 29, , , 17, 16, 1, 1, 15, 3, 3, 0, 0
G Cook, Northamptonshire; TN Pearce's XI; Eastern Province; Marylebone Cricket Club; England; England XI, 0, 28, , , 13, 12, 1, 0, 12, 2, 2, 0, 0
D Ripley, Marylebone Cricket Club; Northamptonshire, 0, 7, , , 12, 11, 1, 11, 0, 4, 0, 4, 0
MHJ Allen, TN Pearce's XI; Northamptonshire; Derbyshire; Players; Marylebone Cricket Club; North, 0, 12, , , 11, 11, 0, 0, 11, 2, 2, 0, 0
L Livingston, Commonwealth XI; Northamptonshire; North; Marylebone Cricket Club; New South Wales; CG Howard's XI, 0, 15, , , 11, 7, 4, 5, 2, 3, 0, 3, 0
