Name, Team, Opponents, Date, Ground, Innings, Balls, Maidens, Runs, Wickets, Balls Per Over
RTD Perks, Worcestershire, Northamptonshire, 5 June 1948, Town Ground  Rushden, 0, 246, 15, 74, 12, 6
JDF Larter, Northamptonshire, Lancashire, 18 May 1963, Town Ground  Rushden, 0, 328, 11, 131, 11, 6
JB Statham, Lancashire, Northamptonshire, 18 May 1963, Town Ground  Rushden, 0, 248, 19, 68, 10, 6
JH Cornford, Sussex, Northamptonshire, 23 July 1949, Town Ground  Rushden, 0, 209, 8, 81, 10, 6
JC Clay, Glamorgan, Northamptonshire, 13 July 1946, Town Ground  Rushden, 0, 378, 17, 130, 10, 6
AE Moss, Middlesex, Northamptonshire, 21 May 1955, Town Ground  Rushden, 0, 320, 7, 141, 10, 6
DJ Halfyard, Kent, Northamptonshire, 15 June 1957, Town Ground  Rushden, 0, 324, 14, 141, 10, 6
FR Brown, Northamptonshire, Surrey, 24 May 1952, Town Ground  Rushden, 0, 308, 13, 142, 10, 6
