Name, Team, Matches, Innings, Balls, Maidens, Runs, Wickets, Avg, Fours, Sixes, FiveFor, TenFor, BBI, BBM
BS Crump, AER Gilligan's XI; Northamptonshire; Marylebone Cricket Club; Players, 13, 23, 2128, 126, 728, 39, 18.66, 0, 0, 1, 0, 5/42, 6/64
FH Tyson, Commonwealth XI; TN Pearce's XI; Northamptonshire; Marylebone Cricket Club; Players; England XI; North; England; The Rest; EW Swanton's XI, 9, 16, 1146, 36, 536, 31, 17.29, 0, 0, 2, 0, 7/46, 8/70
Mushtaq Mohammad, Marylebone Cricket Club; Karachi Blues; Karachi C; Karachi Whites; Karachi A; Karachi; President's XI; Peshawar; Pakistan International Airlines; BCCP XI; International Cavaliers; Pakistan Eaglets; Fazal Mahmood's XI; International XI; Pakistan Under-25s; Pakistan International Airlines A; DH Robins' XI; Rest of the World XI; Pakistan Banks; DB Close's XI; ZA Bhutto's XI; Pakistan; AER Gilligan's XI; TN Pearce's XI; Commonwealth XI; Pakistanis; The Rest; Northamptonshire, 9, 12, 1022, 58, 418, 29, 14.41, 0, 0, 2, 0, 7/67, 7/67
GE Tribe, North; Victoria; The Rest; Australia; Players; Duke of Norfolk's XI; CG Howard's XI; LEG Ames' XI; Northamptonshire; AER Gilligan's XI; TN Pearce's XI; Commonwealth XI, 9, 16, 1435, 61, 680, 29, 23.44, 0, 0, 0, 0, 4/52, 5/61
P Willey, Leicestershire; Northamptonshire; TN Pearce's XI; Eastern Province; Marylebone Cricket Club; England XI; England; DH Robins' XI; England Under-25s; South African Breweries English XI, 10, 11, 1234, 58, 494, 26, 19, 0, 0, 3, 0, 5/25, 9/128
BS Bedi, Northern Punjab; Indian XI; Delhi; Rest of India; India Prime Minister's XI; TN Pearce's XI; Indian Universities; North Zone; India; Northamptonshire; Indians; International XI; DH Robins' XI; World XI; State Bank of India, 4, 7, 735, 37, 255, 22, 11.59, 0, 0, 3, 1, 6/24, 11/107
JCJ Dye, Kent; Marylebone Cricket Club; Northamptonshire; Eastern Province, 6, 9, 714, 26, 338, 22, 15.36, 0, 0, 1, 0, 5/16, 8/83
JS Manning, LEG Ames' XI; Northamptonshire; Commonwealth XI; AER Gilligan's XI; South Australia; Marylebone Cricket Club; North, 5, 10, 1009, 63, 428, 21, 20.38, 0, 0, 2, 0, 6/37, 9/96
