Name, Team, Matches, Innings, Balls, Maidens, Runs, Wickets, Avg, Fours, Sixes, FiveFor, TenFor, BBI, BBM
AE Relf, Kent and Sussex; South; Sussex; Players; England XI; Auckland; The Rest; England; Marylebone Cricket Club; Players of the South; London County; CB Fry's XI; Marylebone Cricket Club South African Touring Team; Lord Londesborough's XI, 5, 10, 1210, 73, 366, 26, 14.07, 0, 0, 2, 1, 7/33, 10/89
SD Udal, Middlesex; England; England XI; Hampshire; England A, 8, 13, 1623, 58, 851, 26, 32.73, 0, 0, 1, 0, 5/36, 8/132
BM Brain, Worcestershire; Gloucestershire, 7, 13, 1295, 37, 650, 25, 26, 0, 0, 1, 0, 6/78, 9/110
AS Brown, Gloucestershire; England XI; Marylebone Cricket Club; Combined Services; DH Robins' XI; International Wanderers, 8, 15, 1189, 40, 608, 25, 24.32, 0, 0, 1, 0, 5/80, 5/80
A Buss, Marylebone Cricket Club President's XI; Sussex; Marylebone Cricket Club; Combined Services, 7, 13, 1593, 48, 723, 25, 28.92, 0, 0, 2, 0, 8/65, 8/90
MT Coles, England Lions; Northamptonshire; Essex; Kent; Hampshire, 6, 10, 931, 22, 549, 25, 21.96, 0, 0, 1, 0, 6/51, 9/83
WW Daniel, Young West Indies; Barbados; Middlesex; West Indies; Western Australia; West Indians, 7, 14, 1112, 27, 676, 25, 27.04, 0, 0, 0, 0, 4/44, 7/157
PAJ DeFreitas, Test and County Cricket Board XI; Boland; England XI; Lancashire; Derbyshire; England; Marylebone Cricket Club; Leicestershire, 7, 13, 1484, 42, 807, 25, 32.28, 0, 0, 1, 0, 5/54, 6/143
LC Eastman, Essex; The Rest; Sir TEW Brinckman's XI; Otago, 9, 16, 1530, 73, 603, 25, 24.12, 0, 0, 0, 0, 4/46, 5/87
NA Foster, England XI; England; Essex; Transvaal, 6, 9, 1110, 39, 616, 25, 24.64, 0, 0, 2, 0, 7/105, 9/121
A Jepson, Marylebone Cricket Club; Nottinghamshire, 11, 15, 2032, 85, 829, 25, 33.16, 0, 0, 1, 0, 5/39, 6/77
GM Lee, North; Nottinghamshire; Derbyshire; LH Tennyson's XI, 11, 10, 1263, 66, 488, 25, 19.52, 0, 0, 3, 1, 7/78, 12/143
J Lewis, Gloucestershire; Surrey; Marylebone Cricket Club; England; Sussex; England A; First-Class Counties Select XI, 8, 12, 1538, 69, 782, 25, 31.28, 0, 0, 0, 0, 4/61, 5/109
JB Mortimore, International Cavaliers; Indian Board President's XI; Commonwealth XI; TN Pearce's XI; Combined Services; AER Gilligan's XI; Gloucestershire; England XI; Marylebone Cricket Club; The Rest; England; South, 11, 19, 1966, 102, 699, 25, 27.96, 0, 0, 1, 0, 5/35, 6/86
AE Moss, AER Gilligan's XI; Free Foresters; Combined Services; TN Pearce's XI; Players; Marylebone Cricket Club; England XI; The Rest; England; South; Middlesex; International Cavaliers; LEG Ames' XI; Duke of Norfolk's XI; CG Howard's XI, 6, 11, 1212, 37, 567, 25, 22.68, 0, 0, 2, 0, 6/114, 7/155
MS Nichols, HDG Leveson-Gower's XI; Lord Tennyson's XI; Sir J Cahn's XI; Essex; CI Thornton's XI; England XI; The Rest; Marylebone Cricket Club; England; Players; South, 9, 14, 1452, 37, 676, 25, 27.04, 0, 0, 0, 0, 4/48, 5/76
GAE Paine, Middlesex; England; Marylebone Cricket Club; The Rest; Warwickshire; Marylebone Cricket Club West Indian Touring Team, 5, 9, 1518, 89, 517, 25, 20.68, 0, 0, 2, 0, 7/99, 7/99
JM Sims, Players; South; Middlesex; England XI; Marylebone Cricket Club; England; East; Marylebone Cricket Club Australian Touring Team; Sir TEW Brinckman's XI; Middlesex and Essex, 8, 11, 1400, 16, 749, 25, 29.96, 0, 0, 2, 1, 7/79, 12/224
PM Walker, England XI; England; South; Marylebone Cricket Club; Players; Glamorgan; AER Gilligan's XI; TN Pearce's XI; Commonwealth XI; Transvaal; Western Province; DH Robins' XI; EW Swanton's XI, 12, 24, 2436, 149, 916, 25, 36.64, 0, 0, 0, 0, 3/18, 5/106
Wasim Akram, Pakistan International Airlines; BCCP Patron's XI; Lahore City; Lahore City Whites; Pakistan Automobiles Corporation; Pakistan Under-23s; M Parkinson's World XI; Lahore Blues; Pakistanis; Pakistan; Hampshire; Lancashire, 4, 7, 792, 30, 369, 25, 14.76, 0, 0, 4, 1, 7/53, 10/117
DG Wright, Australia A; Worcestershire; Glamorgan; Northamptonshire; Somerset; Sussex; Tasmania; Victoria, 9, 18, 1624, 69, 795, 25, 31.8, 0, 0, 0, 0, 4/55, 6/154
DW Barrick, Northamptonshire; AER Gilligan's XI; Commonwealth XI; Duke of Norfolk's XI; LEG Ames' XI; England XI; The Rest; Players; Marylebone Cricket Club, 101, 60, 2339, 68, 1243, 24, 51.79, 0, 0, 0, 0, 3/71, 5/135
GW Brook, Worcestershire, 3, 6, 901, 33, 430, 24, 17.91, 0, 0, 3, 1, 6/53, 10/214
PB Clift, Rhodesia; Natal; Leicestershire; Zimbabwe-Rhodesia, 8, 15, 1829, 80, 804, 24, 33.5, 0, 0, 0, 0, 4/54, 6/105
PH Edmonds, England XI; Oxford and Cambridge Universities; England; Cambridge University; Middlesex; The Rest; Marylebone Cricket Club; TN Pearce's XI; Eastern Province; International Wanderers; DB Close's XI, 4, 8, 1313, 66, 501, 24, 20.87, 0, 0, 2, 0, 5/49, 9/130
GAR Lock, Marylebone Cricket Club; Players; Surrey XI; South; Surrey; North; The Rest; England; England XI; Combined Services; AER Gilligan's XI; TN Pearce's XI; Western Australia; Leicestershire; Western Australia Combined XI, 7, 11, 1533, 93, 503, 24, 20.95, 0, 0, 1, 0, 5/33, 5/63
RTD Perks, Combined Services; Over 32; Worcestershire; England; Marylebone Cricket Club; South; Over 30; Under 30; North; Players; The Rest, 8, 14, 1363, 52, 541, 24, 22.54, 0, 0, 1, 0, 5/54, 7/63
R Pollard, Combined Services; Commonwealth XI; Lancashire; England XI; The Rest; North; England; Marylebone Cricket Club; Players, 5, 10, 1057, 41, 397, 24, 16.54, 0, 0, 1, 0, 6/42, 9/88
TL Pritchard, New Zealand Army; North Island Army; New Zealand Services; Commonwealth XI; TN Pearce's XI; Warwickshire; New Zealand; HDG Leveson-Gower's XI; Wellington; Kent; Players; North, 4, 6, 890, 21, 446, 24, 18.58, 0, 0, 3, 1, 8/43, 13/153
A Sidebottom, Marylebone Cricket Club; England; Yorkshire; DB Close's XI; Orange Free State, 7, 14, 1131, 35, 614, 24, 25.58, 0, 0, 1, 0, 5/57, 6/97
H Verity, Marylebone Cricket Club Australian Touring Team; HDG Leveson-Gower's XI; England; Marylebone Cricket Club; North; The Rest; Yorkshire; Players, 4, 6, 1013, 61, 303, 24, 12.62, 0, 0, 2, 1, 8/39, 11/86
RA White, Marylebone Cricket Club; Nottinghamshire; Middlesex, 9, 14, 2014, 95, 801, 24, 33.37, 0, 0, 1, 0, 5/96, 9/185
WH Ashdown, GJV Weigall's XI; LH Tennyson's XI; M Leyland's XI; Players; Kent; South, 13, 20, 1425, 72, 511, 23, 22.21, 0, 0, 1, 0, 6/67, 6/87
CP Buckenham, England XI; Marylebone Cricket Club; England; The Rest; South; Players; PF Warner's XI; Lord Londesborough's XI; East; Essex; J Bamford's XI; SH Cochrane's XI; Marylebone Cricket Club South African Touring Team; LG Robinson's XI, 5, 9, 913, 20, 463, 23, 20.13, 0, 0, 3, 2, 6/67, 10/117
Kapil Dev, World XI; Haryana; Rest of the World XI; India; Worcestershire; Northamptonshire; Rest of India; North Zone; Indians, 10, 20, 1468, 69, 701, 23, 30.47, 0, 0, 1, 0, 5/35, 7/66
Mohammad Akram, Rawalpindi; Pakistan Cricket Board XI; Pakistan Cricket Board Patron's XI; Rawalpindi A; Allied Bank Limited; Essex; Pakistanis; Pakistan; Northamptonshire; Surrey; Sussex, 8, 13, 1449, 39, 919, 23, 39.95, 0, 0, 2, 0, 5/72, 6/102
JS Nicholson, Northamptonshire, 26, 33, 2889, 110, 1260, 23, 54.78, 0, 0, 0, 0, 2/33, 4/72
CM Old, International Wanderers; DH Robins' XI; Northern Transvaal; South African Breweries English XI; DB Close's XI; Duke of Norfolk's XI; TN Pearce's XI; Warwickshire; Yorkshire; England XI; Marylebone Cricket Club; The Rest; England, 7, 11, 1135, 45, 495, 23, 21.52, 0, 0, 1, 0, 5/50, 9/98
JCT Page, Kent, 4, 7, 834, 29, 439, 23, 19.08, 0, 0, 2, 1, 6/76, 12/169
FS Trueman, International Cavaliers; CG Howard's XI; England XI; Players; Marylebone Cricket Club; Yorkshire; The Rest; England; Combined Services; India Prime Minister's XI; TN Pearce's XI, 8, 15, 1496, 58, 637, 23, 27.69, 0, 0, 1, 0, 5/34, 6/97
DA Allen, Combined Services; TN Pearce's XI; Commonwealth XI; Marylebone Cricket Club Australian Touring Team; Players; Marylebone Cricket Club; The Rest; England; England XI; Gloucestershire, 6, 10, 1194, 81, 361, 22, 16.4, 0, 0, 1, 0, 5/42, 9/113
PJW Allott, Lancashire; England XI; Wellington; England; Marylebone Cricket Club; Test and County Cricket Board XI; DB Close's XI; International XI, 6, 11, 920, 40, 443, 22, 20.13, 0, 0, 1, 0, 8/48, 9/82
R Appleyard, Yorkshire; Marylebone Cricket Club; Players; England, 3, 6, 910, 64, 261, 22, 11.86, 0, 0, 3, 1, 6/84, 11/127
TE Bailey, England; Gentlemen of England; The Rest; Cambridge University; England XI; South; Marylebone Cricket Club; Gentlemen; Under 33; Sir PF Warner's XI; TN Pearce's XI; India Prime Minister's XI; Essex; Free Foresters; International Cavaliers, 9, 14, 1525, 54, 644, 22, 29.27, 0, 0, 0, 0, 4/61, 7/96
EE Hemmings, Warwickshire; International XI; DH Robins' XI; England XI; Marylebone Cricket Club; Sussex; Nottinghamshire; England, 13, 22, 1987, 92, 809, 22, 36.77, 0, 0, 2, 0, 5/43, 6/75
KBS Jarvis, International XI; England B; Young England; DH Robins' XI; Gloucestershire; Kent, 5, 10, 800, 25, 483, 22, 21.95, 0, 0, 1, 0, 7/58, 7/114
SR Lampitt, Worcestershire; Test and County Cricket Board Under-25s XI, 7, 12, 1021, 28, 617, 22, 28.04, 0, 0, 1, 0, 5/63, 7/104
RJ Logan, Nottinghamshire; Surrey; Hampshire; Northamptonshire, 9, 13, 1226, 38, 800, 22, 36.36, 0, 0, 1, 0, 5/61, 5/61
ACS Pigott, Sussex; England; Surrey; Wellington; DH Robins' XI, 6, 9, 859, 24, 466, 22, 21.18, 0, 0, 2, 1, 6/91, 11/111
AW Shipman, Players; England XI; North; Leicestershire, 13, 17, 1327, 65, 447, 22, 20.31, 0, 0, 0, 0, 4/43, 6/88
GS Sobers, South Australia; Nottinghamshire; Barbados; Marylebone Cricket Club; EW Swanton's XI; International Cavaliers; Rest of the World XI; Sir FMM Worrell's XI; Jamaica Invitation XI; World XI; CC Hunte's XI; Commonwealth XI; West Indies; AER Gilligan's XI; West Indians; West Indies XI, 8, 13, 1423, 86, 491, 22, 22.31, 0, 0, 1, 0, 5/50, 6/101
AC Wright, Kent, 7, 13, 1044, 33, 430, 22, 19.54, 0, 0, 1, 0, 5/39, 7/68
WHR Andrews, Somerset; The Rest; England XI; Under 30; South, 5, 9, 942, 40, 383, 21, 18.23, 0, 0, 0, 0, 4/16, 7/46
C Gladwin, Marylebone Cricket Club; Players; England; England XI; Derbyshire; North; HDG Leveson-Gower's XI; Marylebone Cricket Club South African Touring Team, 4, 7, 905, 40, 349, 21, 16.61, 0, 0, 1, 0, 5/45, 9/84
GEM Heath, Hampshire, 4, 7, 975, 32, 414, 21, 19.71, 0, 0, 0, 0, 4/57, 7/151
PS Jones, Cambridge University; Kent; Somerset; Derbyshire; Northamptonshire, 9, 12, 1349, 39, 793, 21, 37.76, 0, 0, 0, 0, 4/74, 6/90
JWJ McMahon, Marylebone Cricket Club; Somerset; Surrey, 6, 10, 984, 47, 424, 21, 20.19, 0, 0, 2, 0, 6/74, 9/87
CH Parkin, Marylebone Cricket Club Australian Touring Team; HDG Leveson-Gower's XI; Capped; CI Thornton's XI; Yorkshire; England; Marylebone Cricket Club; The Rest; North; Lancashire; England XI; Players, 3, 6, 645, 25, 314, 21, 14.95, 0, 0, 1, 0, 5/20, 9/82
FE Rumsey, Worcestershire; TN Pearce's XI; Marylebone Cricket Club; England; Somerset; Derbyshire; England XI, 5, 9, 876, 37, 362, 21, 17.23, 0, 0, 1, 0, 5/68, 8/90
PA Smith, Warwickshire, 7, 12, 742, 17, 438, 21, 20.85, 0, 0, 0, 0, 4/9, 6/57
DL Acfield, Essex; Marylebone Cricket Club; Cambridge University; England Under-25s; Young England, 16, 24, 2455, 111, 979, 20, 48.95, 0, 0, 0, 0, 4/49, 5/107
TM Alderman, Australian XI; Australia; Australians; Kent; Gloucestershire; Western Australia, 3, 6, 587, 29, 272, 20, 13.6, 0, 0, 1, 0, 5/34, 8/104
T Arnott, HDG Leveson-Gower's XI; Sir J Cahn's XI; LH Tennyson's XI; Wales; Glamorgan; Marylebone Cricket Club; Gentlemen; South; Oxford and Cambridge Universities, 6, 12, 1098, 25, 619, 20, 30.95, 0, 0, 1, 0, 5/62, 6/149
MP Bicknell, Test and County Cricket Board Under-25s XI; England A; England XI; England; Surrey, 7, 10, 1358, 56, 675, 20, 33.75, 0, 0, 0, 0, 4/48, 8/126
SAJ Boswell, British Universities; Northamptonshire; Leicestershire, 9, 13, 1275, 27, 877, 20, 43.85, 0, 0, 1, 0, 5/94, 5/110
JS Heap, Lancashire, 6, 7, 543, 36, 185, 20, 9.25, 0, 0, 2, 1, 9/43, 14/93
M Hendrick, Marylebone Cricket Club; Nottinghamshire; England; Derbyshire; England XI; DH Robins' XI; Young England; South African Breweries English XI, 6, 10, 886, 48, 319, 20, 15.95, 0, 0, 2, 0, 5/28, 9/106
MD Marshall, Barbados; Hampshire; Marylebone Cricket Club; Natal; West Indies XI; West Indians; West Indies; Young West Indies; West Indies Board President's XI; Scarborough Festival President's XI, 4, 6, 768, 41, 263, 20, 13.15, 0, 0, 1, 0, 5/36, 9/56
PJ Martin, Lancashire; England XI; England, 7, 14, 1419, 51, 698, 20, 34.9, 0, 0, 1, 0, 5/61, 5/66
JH Mayer, Warwickshire; Players, 8, 14, 1861, 75, 691, 20, 34.55, 0, 0, 0, 0, 3/35, 5/82
GR Napier, Essex; Marylebone Cricket Club; Wellington; England A, 8, 10, 822, 23, 554, 20, 27.7, 0, 0, 1, 0, 6/93, 6/93
WW Odell, Leicestershire; London County; Gentlemen of the South; WG Grace's XI; Gentlemen of England; The Rest; Gentlemen, 5, 8, 1104, 60, 333, 20, 16.65, 0, 0, 1, 0, 5/50, 5/48
NV Radford, Lancashire; England XI; England; Transvaal; Worcestershire; Transvaal B, 5, 9, 916, 23, 526, 20, 26.3, 0, 0, 2, 1, 5/63, 10/129
DA Reeve, Warwickshire; Sussex; England XI; England; Marylebone Cricket Club, 8, 13, 1086, 57, 428, 20, 21.4, 0, 0, 1, 0, 5/37, 5/58
K Shuttleworth, Leicestershire; Commonwealth XI; Lancashire; Marylebone Cricket Club; England; Marylebone Cricket Club President's XI, 6, 11, 1026, 37, 460, 20, 23, 0, 0, 0, 0, 4/52, 7/77
GC Small, Warwickshire; England XI; Marylebone Cricket Club; England; South Australia; International XI; DH Robins' XI, 10, 19, 1212, 46, 658, 20, 32.9, 0, 0, 0, 0, 3/42, 4/68
A Staples, HDG Leveson-Gower's XI; Lord Hawke's XI; Players; The Rest; Nottinghamshire, 9, 13, 963, 48, 318, 20, 15.9, 0, 0, 1, 0, 7/75, 7/48
FD Stephenson, Nottinghamshire; Tasmania; Sussex; Barbados; Gloucestershire; Free State; Rest of the World XI; DB Close's XI; Orange Free State; West Indies XI, 4, 6, 660, 23, 298, 20, 14.9, 0, 0, 1, 0, 5/22, 7/50
TD Topley, Essex; Griqualand West; Surrey, 5, 10, 1188, 44, 630, 20, 31.5, 0, 0, 1, 0, 5/37, 8/137
OS Wheatley, EW Swanton's XI; Cambridge University; Gentlemen; Marylebone Cricket Club; Gentlemen of England; Warwickshire; Free Foresters; Glamorgan, 7, 13, 1319, 71, 476, 20, 23.8, 0, 0, 0, 0, 4/36, 7/113
WA White, Lancashire; Derbyshire; Leicestershire, 6, 10, 1004, 24, 702, 20, 35.1, 0, 0, 2, 0, 5/51, 6/121
