Name, Team, Matches, Innings, Balls, Maidens, Runs, Wickets, Avg, Fours, Sixes, FiveFor, TenFor, BBI, BBM
TPB Smith, East; Essex; Sir J Cahn's XI; Lord Tennyson's XI; Sir PF Warner's XI; TN Pearce's XI; The Rest; Players; South; Under 30; Marylebone Cricket Club; England, 12, 20, 2642, 104, 1116, 41, 27.21, 0, 0, 3, 1, 7/64, 11/134
C Milburn, DH Robins' XI; Marylebone Cricket Club President's XI; Young England; Northamptonshire; TN Pearce's XI; Western Australia; Western Australia Combined XI; Marylebone Cricket Club; England XI; The Rest; England, 89, 46, 2629, 90, 1167, 40, 29.17, 0, 0, 0, 0, 4/17, 5/62
D Shackleton, AER Gilligan's XI; Under 32; Commonwealth XI; Players; Marylebone Cricket Club; England; England XI; Hampshire; South; The Rest, 10, 19, 2839, 149, 1046, 40, 26.15, 0, 0, 2, 0, 6/75, 8/125
JH Childs, England; Gloucestershire; Essex, 13, 20, 2791, 150, 1188, 38, 31.26, 0, 0, 1, 0, 5/97, 5/97
JS Denton, Northamptonshire, 52, 50, 1722, 23, 1184, 38, 31.15, 0, 0, 0, 0, 4/29, 6/78
K Higgs, TN Pearce's XI; Leicestershire; Marylebone Cricket Club; England; England XI; Lancashire, 11, 21, 2195, 108, 808, 38, 21.26, 0, 0, 1, 0, 7/76, 9/120
A Skelding, Leicestershire, 7, 14, 1441, 45, 679, 38, 17.86, 0, 0, 3, 1, 8/79, 14/125
S Turner, DH Robins' XI; Natal; TN Pearce's XI; Essex, 11, 20, 2089, 97, 717, 38, 18.86, 0, 0, 3, 1, 6/26, 10/126
J Webster, Cambridge University; Marylebone Cricket Club; Northamptonshire, 20, 33, 3062, 112, 1419, 38, 37.34, 0, 0, 0, 0, 4/28, 6/82
GHJ Brice, Northamptonshire, 13, 23, 2420, 53, 1352, 37, 36.54, 0, 0, 3, 0, 6/33, 7/164
P Carrick, Young England; Northern Transvaal; DH Robins' XI; Eastern Province; Marylebone Cricket Club; Yorkshire, 15, 26, 2990, 171, 1077, 37, 29.1, 0, 0, 1, 0, 6/32, 7/95
MR Dilley, Northamptonshire, 11, 18, 2055, 74, 939, 37, 25.37, 0, 0, 1, 0, 5/48, 8/82
CF Root, Derbyshire; England XI; The Rest; England; Marylebone Cricket Club; South; North; Players; Worcestershire; FSG Calthorpe's XI; Sir L Parkinson's XI, 10, 16, 2661, 139, 1052, 37, 28.43, 0, 0, 3, 1, 5/64, 10/134
MW Tate, AER Gilligan's XI; Uncapped; Marylebone Cricket Club South African Touring Team; HDG Leveson-Gower's XI; Marylebone Cricket Club Australian Touring Team; CI Thornton's XI; South; The Rest; England XI; Sussex; Players; England; Marylebone Cricket Club, 10, 18, 1816, 99, 590, 37, 15.94, 0, 0, 3, 1, 6/28, 10/143
DW White, Glamorgan; TN Pearce's XI; Marylebone Cricket Club; England XI; Hampshire; England; International Cavaliers, 8, 16, 1730, 63, 786, 37, 21.24, 0, 0, 2, 1, 5/33, 10/97
GS Boyes, Players; Marylebone Cricket Club; Hampshire, 9, 14, 1426, 71, 477, 36, 13.25, 0, 0, 5, 1, 6/17, 11/94
H Dean, England; Lancashire; North; The Rest; Players; LG Robinson's XI, 8, 15, 1889, 92, 676, 36, 18.77, 0, 0, 2, 0, 7/24, 8/52
CG Greenidge, Gloucestershire; Surrey; Northamptonshire, 12, 22, 1768, 48, 1202, 35, 34.34, 0, 0, 1, 0, 5/44, 8/112
